"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2013","1,323.10","1,233.60","1,348.30","1,208.11","","7.20%"
"06/01/2013","1,234.25","1,389.70","1,424.27","1,181.82","","-11.01%"
"05/01/2013","1,386.90","1,476.19","1,488.30","1,339.45","","-6.11%"
"04/01/2013","1,477.10","1,597.74","1,604.10","1,321.85","","-7.49%"
"03/01/2013","1,596.74","1,580.37","1,616.93","1,561.37","","1.05%"
"02/01/2013","1,580.14","1,663.80","1,684.88","1,554.88","","-5.02%"
"01/01/2013","1,663.60","1,675.26","1,696.37","1,626.40","","-0.68%"
"12/01/2012","1,674.95","1,714.11","1,723.62","1,635.70","","-2.32%"
"11/01/2012","1,714.80","1,720.45","1,754.50","1,672.64","","-0.33%"
"10/01/2012","1,720.55","1,771.09","1,796.19","1,698.89","","-2.86%"
"09/01/2012","1,771.22","1,692.12","1,787.74","1,685.62","","4.73%"
"08/01/2012","1,691.15","1,599.25","1,693.32","1,585.10","","4.79%"
"07/01/2012","1,613.90","1,599.30","1,629.71","1,554.95","","0.96%"
"06/01/2012","1,598.60","1,560.24","1,640.90","1,545.09","","2.43%"
"05/01/2012","1,560.70","1,666.75","1,673.20","1,529.00","","-6.23%"
"04/01/2012","1,664.36","1,668.53","1,681.14","1,612.28","","-0.27%"
"03/01/2012","1,668.90","1,696.20","1,726.21","1,628.29","","-1.55%"
"02/01/2012","1,695.20","1,738.39","1,790.80","1,688.49","","-2.54%"
"01/01/2012","1,739.43","1,566.15","1,747.79","1,564.91","","11.20%"
"12/01/2011","1,564.30","1,746.49","1,762.25","1,522.44","","-10.39%"
"11/01/2011","1,745.70","1,714.65","1,803.20","1,666.48","","1.78%"
"10/01/2011","1,715.25","1,619.49","1,753.99","1,597.14","","5.64%"
"09/01/2011","1,623.75","1,823.09","1,920.80","1,534.99","","-10.97%"
"08/01/2011","1,823.80","1,626.64","1,911.96","1,608.19","","12.12%"
"07/01/2011","1,626.64","1,501.34","1,632.80","1,478.51","","8.44%"
"06/01/2011","1,500.10","1,535.15","1,558.25","1,490.80","","-2.30%"
"05/01/2011","1,535.35","1,569.29","1,577.79","1,464.40","","-1.93%"
"04/01/2011","1,565.60","1,434.09","1,571.30","1,414.55","","9.33%"
"03/01/2011","1,432.00","1,412.59","1,449.40","1,382.90","","1.44%"
"02/01/2011","1,411.65","1,332.15","1,418.27","1,325.14","","5.96%"
"01/01/2011","1,332.19","1,421.18","1,423.95","1,308.38","","-6.28%"
"12/01/2010","1,421.45","1,387.30","1,432.95","1,363.35","","2.64%"
"11/01/2010","1,384.85","1,360.59","1,424.50","1,324.04","","1.86%"
"10/01/2010","1,359.55","1,309.55","1,387.60","1,306.10","","3.82%"
"09/01/2010","1,309.50","1,248.50","1,316.80","1,236.70","","4.96%"
"08/01/2010","1,247.65","1,182.45","1,251.90","1,176.50","","5.65%"
"07/01/2010","1,180.90","1,242.15","1,244.00","1,157.40","","-4.95%"
"06/01/2010","1,242.35","1,216.10","1,265.90","1,197.65","","2.15%"
"05/01/2010","1,216.21","1,179.00","1,249.45","1,157.70","","3.13%"
"04/01/2010","1,179.25","1,113.40","1,182.05","1,112.35","","5.88%"
"03/01/2010","1,113.80","1,117.15","1,145.60","1,085.85","","-0.24%"
"02/01/2010","1,116.50","1,080.10","1,131.05","1,044.15","","3.23%"
"01/01/2010","1,081.55","1,096.75","1,162.00","1,074.25","","-1.34%"
"12/01/2009","1,096.20","1,179.75","1,226.60","1,074.60","","-7.01%"
"11/01/2009","1,178.85","1,044.30","1,195.30","1,040.65","","12.82%"
"10/01/2009","1,044.90","1,006.70","1,070.90","986.70","","3.69%"
"09/01/2009","1,007.70","950.55","1,024.85","947.00","","5.95%"
"08/01/2009","951.15","953.80","972.75","931.20","","-0.38%"
"07/01/2009","954.75","926.30","959.70","906.00","","3.01%"
"06/01/2009","926.85","979.60","990.80","913.90","","-5.42%"
"05/01/2009","980.00","887.30","981.00","880.55","","10.55%"
"04/01/2009","886.50","918.55","933.35","865.00","","-3.45%"
"03/01/2009","918.15","940.00","967.70","883.90","","-2.86%"
"02/01/2009","945.15","927.95","1,006.40","888.00","","1.88%"
"01/01/2009","927.75","880.30","931.40","802.65","","5.40%"
"12/01/2008","880.20","817.00","891.55","742.40","","7.67%"
"11/01/2008","817.50","724.85","832.10","702.25","","12.75%"
"10/01/2008","725.05","872.15","933.00","682.80","","-16.85%"
"09/01/2008","871.95","836.50","922.00","738.00","","4.95%"
"08/01/2008","830.80","914.55","917.90","774.90","","-9.09%"
"07/01/2008","913.85","926.50","988.75","894.50","","-1.22%"
"06/01/2008","925.10","887.75","936.00","857.80","","4.31%"
"05/01/2008","886.90","877.15","936.30","846.00","","1.83%"
"04/01/2008","870.95","916.25","953.60","863.30","","-4.89%"
"03/01/2008","915.70","973.40","1,031.20","905.05","","-5.84%"
"02/01/2008","972.48","924.38","976.27","885.67","","5.06%"
"01/01/2008","925.62","833.92","933.73","833.83","","11.04%"
"12/01/2007","833.60","783.10","843.60","777.40","","6.48%"
"11/01/2007","782.90","795.90","845.80","773.00","","-1.67%"
"10/01/2007","796.20","744.20","796.90","721.10","","7.00%"
"09/01/2007","744.10","673.40","745.90","671.40","","10.56%"
"08/01/2007","673.00","663.40","677.00","641.50","","1.43%"
"07/01/2007","663.50","651.25","687.60","645.50","","2.13%"
"06/01/2007","649.65","662.20","674.70","639.65","","-1.71%"
"05/01/2007","660.95","678.95","691.55","652.05","","-2.55%"
"04/01/2007","678.25","665.45","693.85","656.45","","2.21%"
"03/01/2007","663.60","669.70","677.70","632.80","","-0.95%"
"02/01/2007","669.95","652.85","689.35","643.15","","2.56%"
"01/01/2007","653.20","637.30","655.20","602.20","","2.58%"
"12/01/2006","636.80","648.00","650.00","611.80","","-1.77%"
"11/01/2006","648.30","606.40","649.00","605.70","","6.87%"
"10/01/2006","606.60","598.50","611.00","559.90","","1.39%"
"09/01/2006","598.30","625.30","640.75","571.70","","-4.56%"
"08/01/2006","626.90","636.00","655.95","607.30","","-1.21%"
"07/01/2006","634.58","617.88","676.38","601.98","","3.50%"
"06/01/2006","613.10","643.40","645.50","543.50","","-4.75%"
"05/01/2006","643.70","654.50","730.40","636.60","","-1.65%"
"04/01/2006","654.50","583.00","655.80","582.30","","12.14%"
"03/01/2006","583.65","561.15","589.15","534.05","","3.90%"
"02/01/2006","561.75","568.95","575.05","534.95","","-1.27%"
"01/01/2006","568.95","517.20","572.65","549.45","","9.92%"
"12/01/2005","517.60","493.90","517.60","517.60","","4.81%"
"11/01/2005","493.85","465.35","493.85","493.85","","6.16%"
"10/01/2005","465.20","467.65","465.20","465.20","","-0.84%"
"09/01/2005","469.15","435.10","469.15","469.15","","7.79%"
"08/01/2005","435.25","429.75","435.25","435.25","","1.17%"
"07/01/2005","430.20","434.90","430.20","430.20","","-1.16%"
"06/01/2005","435.25","417.00","435.25","435.25","","4.29%"
"05/01/2005","417.35","434.35","417.35","417.35","","-4.03%"
"04/01/2005","434.88","428.38","434.88","434.88","","1.50%"
"03/01/2005","428.45","435.65","428.45","428.45","","-1.65%"
"02/01/2005","435.62","422.38","435.62","435.62","","3.08%"
"01/01/2005","422.62","437.88","422.62","422.62","","-3.61%"
"12/01/2004","438.45","451.10","438.45","438.45","","-2.76%"
"11/01/2004","450.88","429.62","450.88","450.88","","5.22%"
"10/01/2004","428.52","418.12","428.52","428.52","","2.46%"
"09/01/2004","418.25","410.00","418.25","418.25","","2.06%"
"08/01/2004","409.82","394.38","409.82","409.82","","4.75%"
"07/01/2004","391.25","394.50","391.25","391.25","","-0.79%"
"06/01/2004","394.38","395.27","394.38","394.38","","-0.28%"
"05/01/2004","395.50","389.15","395.50","395.50","","2.04%"
"04/01/2004","387.60","426.90","387.60","387.60","","-9.15%"
"03/01/2004","426.62","397.12","426.62","426.62","","7.61%"
"02/01/2004","396.45","402.35","396.45","396.45","","-1.52%"
"01/01/2004","402.57","415.38","402.57","402.57","","-3.01%"
"12/01/2003","415.05","398.50","415.05","415.05","","4.32%"
"11/01/2003","397.88","384.62","397.88","397.88","","3.51%"
"10/01/2003","384.40","385.05","384.40","384.40","","-0.22%"
"09/01/2003","385.25","374.75","385.25","385.25","","2.58%"
"08/01/2003","375.57","355.48","375.57","375.57","","5.79%"
"07/01/2003","355.00","346.75","355.00","355.00","","2.48%"
"06/01/2003","346.40","362.35","346.40","346.40","","-5.09%"
"05/01/2003","364.98","339.77","364.98","364.98","","7.47%"
"04/01/2003","339.62","337.62","339.62","339.62","","0.63%"
"03/01/2003","337.48","348.62","337.48","337.48","","-3.54%"
"02/01/2003","349.85","368.10","349.85","349.85","","-5.06%"
"01/01/2003","368.48","346.38","368.48","368.48","","6.19%"
"12/01/2002","347.00","318.90","347.00","347.00","","8.76%"
"11/01/2002","319.05","317.75","319.05","319.05","","0.39%"
"10/01/2002","317.80","323.65","317.80","317.80","","-1.84%"
"09/01/2002","323.75","312.65","323.75","323.75","","3.52%"
"08/01/2002","312.75","303.75","312.75","312.75","","3.03%"
"07/01/2002","303.55","314.00","303.55","303.55","","-3.52%"
"06/01/2002","314.62","326.68","314.62","314.62","","-3.65%"
"05/01/2002","326.55","309.25","326.55","326.55","","5.90%"
"04/01/2002","308.35","302.25","308.35","308.35","","1.87%"
"03/01/2002","302.70","296.65","302.70","302.70","","1.94%"
"02/01/2002","296.95","282.75","296.95","296.95","","5.17%"
"01/01/2002","282.35","278.85","282.35","282.35","","1.22%"
"12/01/2001","278.95","274.80","278.95","278.95","","1.66%"
"11/01/2001","274.40","279.55","274.40","274.40","","-1.88%"
"10/01/2001","279.65","291.70","279.65","279.65","","-4.54%"
"09/01/2001","292.95","274.50","292.95","292.95","","6.74%"
"08/01/2001","274.45","266.55","274.45","274.45","","2.85%"
"07/01/2001","266.85","270.80","266.85","266.85","","-1.48%"
"06/01/2001","270.85","265.90","270.85","270.85","","1.80%"
"05/01/2001","266.05","263.85","266.05","266.05","","0.76%"
"04/01/2001","264.05","257.75","264.05","264.05","","2.36%"
"03/01/2001","257.95","267.15","257.95","257.95","","-3.48%"
"02/01/2001","267.25","266.15","267.25","267.25","","0.53%"
"01/01/2001","265.85","272.75","265.85","265.85","","-2.40%"
"12/01/2000","272.40","270.45","272.40","272.40","","0.76%"
"11/01/2000","270.35","265.05","270.35","270.35","","2.00%"
"10/01/2000","265.05","274.25","265.05","265.05","","-3.35%"
"09/01/2000","274.25","277.80","274.25","274.25","","-1.26%"
"08/01/2000","277.75","277.45","277.75","277.75","","0.18%"
"07/01/2000","277.25","289.65","277.25","277.25","","-4.43%"
"06/01/2000","290.10","272.10","290.10","290.10","","6.60%"
"05/01/2000","272.15","273.75","272.15","272.15","","-0.49%"
"04/01/2000","273.50","278.75","273.50","273.50","","-1.95%"
"03/01/2000","278.95","292.00","278.95","278.95","","-4.51%"
"02/01/2000","292.12","283.27","292.12","292.12","","3.14%"
"01/01/2000","283.23","288.38","283.23","283.23","","-1.74%"
"12/01/1999","288.25","291.20","288.25","288.25","","-0.90%"
"11/01/1999","290.88","296.88","290.88","290.88","","-2.81%"
"10/01/1999","299.30","299.00","299.30","299.30","","-0.07%"
"09/01/1999","299.50","256.55","299.50","299.50","","17.20%"
"08/01/1999","255.55","255.95","255.55","255.55","","-0.16%"
"07/01/1999","255.95","262.50","255.95","255.95","","-2.50%"
"06/01/1999","262.50","270.05","262.50","262.50","","-2.90%"
"05/01/1999","270.35","286.25","270.35","270.35","","-5.69%"
"04/01/1999","286.65","280.10","286.65","286.65","","2.36%"
"03/01/1999","280.05","286.90","280.05","280.05","","-2.35%"
"02/01/1999","286.80","286.60","286.80","286.80","","0.16%"
"01/01/1999","286.35","288.55","286.35","286.35","","-0.66%"
