DATE,CHNMAINLANDEPU
1966-08-01,0.0
1966-09-01,0.0
1966-10-01,0.0
1966-11-01,0.0
1966-12-01,196.270128817784
1967-01-01,0.0
1967-02-01,0.0
1967-03-01,0.0
1967-04-01,0.0
1967-05-01,0.0
1967-06-01,0.0
1967-07-01,334.425614648901
1967-08-01,136.304113806445
1967-09-01,0.0
1967-10-01,0.0
1967-11-01,0.0
1967-12-01,133.392225312106
1968-01-01,0.0
1968-02-01,0.0
1968-03-01,0.0
1968-04-01,0.0
1968-05-01,0.0
1968-06-01,0.0
1968-07-01,0.0
1968-08-01,0.0
1968-09-01,0.0
1968-10-01,81.7484772330427
1968-11-01,81.0411356500621
1968-12-01,0.0
1969-01-01,0.0
1969-02-01,0.0
1969-03-01,0.0
1969-04-01,0.0
1969-05-01,0.0
1969-06-01,0.0
